PostID, Overall_Sentiment_Score, Sentiment_Vector, Number_of_Comments_Between_Edits, Total_Scores_Between_Edits, Cummulative_Scores_Between_Edits
133997 ,  -0.25 , "[ 0,0,0,0,-2.5,-0.75,0,0.8,0.3,0.2,-2.55,2.05,-1.5,-0.4,0,0,0,0,-1.6,-0.8,0,-0.25,1,-0.25,1.4,0.25,2.95,0,0,-0.5,0,0,0.5,1.4,0 ]" , "[ 0,0,0,2,7,0,0,0,2,0,0,0,3,0,2,2,0 ]" , "[ 0,0,0,-3.25,-1.1,0,0,0,-2.4,-0.25,0.75,0.75,4.6,0,-0.5,1.9,0 ]" , "[ 0,0,0,-3.25,-4.35,-4.35,-4.35,-4.35,-6.75,-7,-6.25,-5.5,-0.899999999999999,-0.899999999999999,-1.4,0.5,0.5 ]"
135614 ,  5.5 , "[ 0,0.85,0.8,0.8,0.25,0,1,0.5,1.4,0,0,0.8,-0.25,0,-0.5,0.35,-0.5 ]" , "[ 4,0,0,1,5,1 ]" , "[ 2.7,1,1.5,1.4,0.05,-0.5 ]" , "[ 2.7,3.7,5.2,6.6,6.65,6.15 ]"
145309 ,  16.55 , "[ 0,0,0,0.6,1.25,0,1.3,0,0,0,0,1.5,0,1.1,-1.35,0,-0.1,-0.25,0.4,0,0.5,0,0.6,2,0.5,1,3.25,0,-1.05,0.5,-0.75,1,0,-1.35,0.4,0.9,0,0,0,0,0.6,1,0.75,0,0,0,1.25,1,0 ]" , "[ 0,0,6,8,0,1,5,1,0,0,0,7,2,0,0,2,0 ]" , "[ 0,0,3.15,0.9,0.4,0.5,7.35,-1.05,-0.25,0.25,1,-0.05,1.75,0,0,2.25,0 ]" , "[ 0,0,3.15,4.05,4.45,4.95,12.3,11.25,11,11.25,12.25,12.2,13.95,13.95,13.95,16.2,16.2 ]"
151946 ,  11.15 , "[ 0,0,-0.25,-0.5,0,1.55,0,2.85,3.9,1.25,2.35,0,-1.25,-0.75,0.2,1.8,0 ]" , "[ 0,0,0,0,11,0 ]" , "[ 0,-0.25,-0.75,-0.5,11.9,0 ]" , "[ 0,-0.25,-1,-1.5,10.4,10.4 ]"
174921 ,  13.55 , "[ 0,0,0,-0.05,2.9,0.5,0.35,1.7,2.45,1.3,0.1,1.5,0.75,-1,0,-0.25,-1,2.2,2.2,0,0,-0.1,0 ]" , "[ 0,0,10,0,0,3,0,1,0 ]" , "[ 0,0,11.5,-1,-0.25,3.4,0,-0.1,0 ]" , "[ 0,0,11.5,10.5,10.25,13.65,13.65,13.55,13.55 ]"
179147 ,  9 , "[ 0,0.5,1.5,0.35,0,0.75,1.4,0.6,0.5,-0.25,-0.25,-0.25,0,0,-0.35,0.25,1.4,1.4,0.6,0,0.6,0,0,0.25 ]" , "[ 3,7,0,2,0,1,1,0,0,0 ]" , "[ 2.35,2.5,0,-0.1,2.8,0.6,0.6,0,0.25,0.25 ]" , "[ 2.35,4.85,4.85,4.75,7.55,8.15,8.75,8.75,9,9.25 ]"
196038 ,  3.05 , "[ 0,-1.75,0.75,0,0.8,-1.1,1.8,-1.5,0,0,0.6,1.1,0.25,1,0.6,0.5 ]" , "[ 8,2,0,2 ]" , "[ -1,1.7,1.25,1.1 ]" , "[ -1,0.7,1.95,3.05 ]"
217605 ,  17.4 , "[ 0,0.6,1.1,1.15,1,0,-0.6,0.75,1.15,0,0,1.35,1,0,0.5,0.25,0.5,0,-0.75,1,1.25,-0.25,1.75,0,0,0,0.8,2.35,0.5,1,0.5,0.5 ]" , "[ 0,7,0,0,0,0,0,2,0,0,1,2,3,0,0,1 ]" , "[ 0.6,4.55,0,1.35,2.35,1,0.5,0.75,-0.75,0.25,1.25,1.75,3.15,1.5,1.5,0.5 ]" , "[ 0.6,5.15,5.15,6.5,8.85,9.85,10.35,11.1,10.35,10.6,11.85,13.6,16.75,18.25,19.75,20.25 ]"
218081 ,  -4.8 , "[ 0,0,-0.65,0.35,0.85,1.4,-0.5,0,0,0,-1.5,-0.3,-0.75,0.25,0.2,-1.45,-0.95,-0.5,0,0,0,-0.3,0.05,0.5,-0.75,-0.75,0 ]" , "[ 0,5,0,0,8,0,0,6 ]" , "[ 0,1.45,0,0,-5,0,0,-1.25 ]" , "[ 0,1.45,1.45,1.45,-3.55,-3.55,-3.55,-4.8 ]"
218510 ,  5.7 , "[ 0,0,0,-0.25,0,0,0.1,-0.75,2.1,0,0.75,0.5,0,-1.75,0.8,0.8,1,0,0,0,-0.15,0,0,0,-0.25,1,-0.25,0.75,-0.4,1.05,0,1.15,-0.5 ]" , "[ 0,0,0,0,0,3,5,0,0,6,0,0,4,0,0 ]" , "[ 0,0,-0.25,-0.25,0,1.45,0.3,1.8,1,-0.15,0.75,0.75,1.4,0.65,-0.5 ]" , "[ 0,0,-0.25,-0.5,-0.5,0.95,1.25,3.05,4.05,3.9,4.65,5.4,6.8,7.45,6.95 ]"
223782 ,  11.05 , "[ 0,1.8,0,0,0,0,0,0.25,1,0,0.65,0.6,0.8,0,-0.15,-0.5,0,0,0,0.6,0,-0.25,0.4,0.6,-0.25,0.25,0.75,0,1.3,-0.5,0.5,0,1,0,1.4,0,0.4,0,0,0,0.4,0 ]" , "[ 3,12,2,0,5,3,0,0,0,0,5,0 ]" , "[ 1.8,2.65,0.6,-0.25,1.75,1.3,1,1,1.4,1.4,0.8,0 ]" , "[ 1.8,4.45,5.05,4.8,6.55,7.85,8.85,9.85,11.25,12.65,13.45,13.45 ]"
223929 ,  9.2 , "[ 0,0.8,-0.4,-0.75,1.9,0.45,-0.25,1.25,2.25,0,1.15,-0.65,-0.15,1.35,0,0,2.25 ]" , "[ 2,5,4,0,1 ]" , "[ 0.4,5.6,1.7,0,2.25 ]" , "[ 0.4,6,7.7,7.7,9.95 ]"
