PostID, Overall_Sentiment_Score, Sentiment_Vector, Number_of_Comments_Between_Edits, Total_Scores_Between_Edits, Cummulative_Scores_Between_Edits
174921 ,  15.15 , "[ 0,2,-0.65,-0.75,0,-0.15,-0.4,0.95,0,1.75,0,1,0,0.1,0.2,-1.8,0.9,0,1.05,0,2.35,0,0,0.8,1.55,0.8,1.35,0.8,-0.65,2.1,0,1.05,0,0.8 ]" , "[ 2,0,0,1,2,0,0,8,5,4,0,0 ]" , "[ 1.35,-0.75,-0.15,-0.4,1.75,1,1,2.8,4.5,2.5,0.8,0.8 ]" , "[ 1.35,0.6,0.45,0.05,1.8,2.8,3.8,6.6,11.1,13.6,14.4,15.2 ]"
179147 ,  16.2 , "[ 0,0,0,0.75,1.1,0.25,2.55,-0.45,0,3.2,0,-0.25,0.35,-0.45,2.85,0,0.25,-0.25,0.8,0.25,0.25,1,1.75,0.25,-0.5,1,0.75,0,0.75 ]" , "[ 0,0,2,14,0,5,1 ]" , "[ 0,0,1.85,8.85,1.25,3.25,0.75 ]" , "[ 0,0,1.85,10.7,11.95,15.2,15.95 ]"
196038 ,  9.15 , "[ 0,0.5,-1.25,0,1.85,0,0.3,0,-0.25,0,2.35,0,0,2,0.25,0,0,0.25,-0.75,-1.25,2.4,1.4,1.35 ]" , "[ 2,3,3,4,1,0,3 ]" , "[ -0.75,2.15,2.1,2.25,0.25,-2,5.15 ]" , "[ -0.75,1.4,3.5,5.75,6,4,9.15 ]"
217605 ,  9.9 , "[ 0,0,0,1.25,0.25,0.55,0.25,0.65,0.8,0.8,0,0,0,1.25,1.55,0,0,0.25,1.2,0.25,-0.5,0,1.35 ]" , "[ 0,5,0,0,0,0,0,2,4,0,1 ]" , "[ 0,2.3,1.45,1.6,0.8,0,0,2.8,1.7,-0.5,1.35 ]" , "[ 0,2.3,3.75,5.35,6.15,6.15,6.15,8.95,10.65,10.15,11.5 ]"
218081 ,  13.7 , "[ 0,2.25,0,1.3,0,0.3,2.75,2.1,1.95,-1.95,0.7,-1.3,0.25,-0.25,0.1,-3,2.05,0.25,0,1.25,-1.25,2.35,1.6,0,2.25 ]" , "[ 1,1,12,0,4,1 ]" , "[ 2.25,1.3,3.7,0.25,3.95,2.25 ]" , "[ 2.25,3.55,7.25,7.5,11.45,13.7 ]"
218510 ,  6.4 , "[ 0,0,0,-0.25,0.8,-1.2,-0.25,-0.5,0.75,1.3,0,0,0.6,1.45,0.75,1,-0.1,2.05 ]" , "[ 1,8,0,1,0,2 ]" , "[ 0,0.65,0.6,1.45,1.75,1.95 ]" , "[ 0,0.65,1.25,2.7,4.45,6.4 ]"
223782 ,  15.75 , "[ 0,0,1.75,0.5,1.1,0,1.25,3.2,0.75,1.3,0,1.3,2.85,0.25,0,0.5,1 ]" , "[ 0,15 ]" , "[ 0,15.75 ]" , "[ 0,15.75 ]"
223929 ,  12.4 , "[ 0,0,2.1,-0.6,-0.75,-0.25,0,0.5,1,0.15,0,-0.25,0.95,0.95,-0.6,-0.35,0.75,1,0,0,0.5,0,0.25,1.75,2.75,0,0.5,1.3,0,0.25,0.5 ]" , "[ 0,4,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,1,0,1 ]" , "[ 0,0.5,0.5,1.5,1.15,0.15,-0.25,0.7,1.9,0.35,-0.35,1.75,1,0,0.5,4.5,0.5,1.3,0.25,0.5 ]" , "[ 0,0.5,1,2.5,3.65,3.8,3.55,4.25,6.15,6.5,6.15,7.9,8.9,8.9,9.4,13.9,14.4,15.7,15.95,16.45 ]"
236803 ,  1.45 , "[ 0,0.95,0,0,0,0,0,0.6,0.75,-0.75,0.95,0,0,-0.25,0.6,0,-1.5,0.25,0.25,0,-0.4 ]" , "[ 5,4,0,8 ]" , "[ 0.95,1.55,0,-1.05 ]" , "[ 0.95,2.5,2.5,1.45 ]"
240181 ,  14.15 , "[ 0,0.8,0.85,-0.4,1.55,-0.25,0,1.55,-0.5,-0.75,0,1.5,0.5,0,-0.5,1.3,1,0,0.75,0.8,1.8,0,2.65,0.4,0.15,-0.25,-0.6,0,0.5,0,1.3 ]" , "[ 0,3,7,2,2,1,1,1,0,0,0,0,0,0 ]" , "[ 0.8,2,2.3,0.8,0.75,1.8,2.65,0.15,-0.85,-0.6,0.5,0.5,1.3,1.3 ]" , "[ 0.8,2.8,5.1,5.9,6.65,8.45,11.1,11.25,10.4,9.8,10.3,10.8,12.1,13.4 ]"
246128 ,  16.9 , "[ 0,0,0,0,1.55,1.1,0,0,0,0.75,0,0,1.3,0.35,0,2.6,0.75,0,-1,1,0.6,0.25,2.1,0.75,0.25,1,0,1.45,0.75,1.35 ]" , "[ 0,0,0,0,1,2,0,0,5,0,0,4,0,4 ]" , "[ 0,0,0,1.55,1.1,0,0.75,0,5,-1,0,3.7,1.25,3.55 ]" , "[ 0,0,0,1.55,2.65,2.65,3.4,3.4,8.4,7.4,7.4,11.1,12.35,15.9 ]"
249126 ,  3 , "[ 0,-2.4,0,0.25,0,1.7,0,1.05,0.6,0.25,-0.5,0.55,-0.85,0.6,0,0.75,0,0,1 ]" , "[ 1,1,1,10,0,0 ]" , "[ -2.4,0.25,1.7,2.45,1,1 ]" , "[ -2.4,-2.15,-0.45,2,3,4 ]"
250400 ,  26.25 , "[ 0,0,0,1.2,0,0,0.5,1,0.15,-0.5,1,0.75,0.25,2.05,1.25,-0.75,0,0.95,0,1.7,2.55,-0.6,1.95,1,0.75,-0.15,-0.5,0,0,1.7,0.25,0.1,-0.75,0,-0.5,-0.25,1,0.35,0.6,0,-1,0,2.3,0,0,1.6,0.8,0.25,0.8,-0.6,2.95,0,0,0,2.1,0 ]" , "[ 0,4,0,1,0,1,9,0,2,0,0,2,3,0,2,0,0,10,0,0,0,0 ]" , "[ 0,1.2,1.5,0.15,0.5,0.75,7.15,2.95,0.6,-0.5,0,1.95,-1.25,0.75,0.95,-1,-1,8.1,0,2.1,2.1,0 ]" , "[ 0,1.2,2.7,2.85,3.35,4.1,11.25,14.2,14.8,14.3,14.3,16.25,15,15.75,16.7,15.7,14.7,22.8,22.8,24.9,27,27 ]"
264037 ,  11.25 , "[ 0,0.75,0.8,1,0.25,-0.25,0.25,0.5,0,0,0.85,1.25,0,1.35,0,0.4,0,0,0,0.8,1,0.8,1.05,-0.25,0.25,-0.35,-0.8,1.6 ]" , "[ 0,0,0,10,3,0,0,0,1,4 ]" , "[ 0.75,1.55,1.8,4.2,0.4,0.8,1.8,1.8,1.05,0.7 ]" , "[ 0.75,2.3,4.1,8.3,8.7,9.5,11.3,13.1,14.15,14.85 ]"
266162 ,  18.6 , "[ 0,0,0,0,0,1,-0.5,-0.6,0.05,0,1.05,0.15,1,0.25,0.1,1.55,-0.1,0.25,1.7,0.6,1.3,-0.4,1,0.6,0,0,-0.25,1,1.95,0.75,0,0,0,1.8,1,1.4,0,-1,0,2.15,1.55,0,-0.75 ]" , "[ 0,0,0,0,0,0,14,0,0,0,0,0,0,2,0,0,0,0,0,7 ]" , "[ 0,0,0,0,1,0.5,7.3,0.6,1.6,0.6,0,-0.25,0.75,2.7,0,0,1.8,2.8,2.4,1.95 ]" , "[ 0,0,0,0,1,1.5,8.8,9.4,11,11.6,11.6,11.35,12.1,14.8,14.8,14.8,16.6,19.4,21.8,23.75 ]"
271874 ,  16.95 , "[ 0,-0.25,0,0.6,-0.1,0.75,1,0.85,1.1,0.25,0,1,-0.5,1.6,1.3,0.6,1.25,-0.75,0.5,2.1,0.25,-0.1,-0.9,0.5,0.15,1.3,-0.75,1.5,0,0.5,0,0.75,1.75,0,1,0.45,0,-1,0.25,0,2.77555756156289e-17 ]" , "[ 0,0,2,0,3,0,5,10,4,0,1,2,1 ]" , "[ -0.25,-0.25,0.5,1.75,2.2,1,4.25,4.55,3,1,0.45,-0.75,2.77555756156289e-17 ]" , "[ -0.25,-0.5,0,1.75,3.95,4.95,9.2,13.75,16.75,17.75,18.2,17.45,17.45 ]"
