PostID, Overall_Sentiment_Score, Sentiment_Vector, Number_of_Comments_Between_Edits, Total_Scores_Between_Edits, Cummulative_Scores_Between_Edits
151946 ,  39.4 , "[ 0,-1.5,1.9,1,0.4,0,-0.25,0.5,-0.25,-0.5,-0.25,2.05,0,1.9,1.25,0.1,0.75,0,2.7,0,1.25,0.8,1.6,0,0.25,0,0.9,4.15,2.65,-0.25,1.5,1.25,0.85,0.85,0,0.6,0,0,1.1,-0.15,-0.65,0,0.5,1,1.5,0,1.65,1.05,1.8,-0.25,0.75,0,0,0,0.75,1,3.15 ]" , "[ 0,8,1,4,1,3,1,10,0,2,1,0,1,3,2,0,0,0,1 ]" , "[ -1.5,2.8,2.05,4,2.7,3.65,0.25,12.5,0,0.95,0,1.5,1.5,4.5,0.75,0,0.75,1.75,3.15 ]" , "[ -1.5,1.3,3.35,7.35,10.05,13.7,13.95,26.45,26.45,27.4,27.4,28.9,30.4,34.9,35.65,35.65,36.4,38.15,41.3 ]"
174921 ,  -1.5 , "[ 0,0,0,-0.5,0,-1.5,0.1,0,0.25,0.5,0.55,0.5,0.55,0,-1.5,0,0,0.4,0,0,0,0,0,0,0,0.65,-0.75,0.25,0,0,-1 ]" , "[ 0,0,0,3,5,1,0,0,0,0,0,0,0,0,0,3,0,0,0 ]" , "[ 0,0,-0.5,-1.4,2.35,-1.5,0,0.4,0.4,0,0,0,0,0,0,0.15,0,-1,-1 ]" , "[ 0,0,-0.5,-1.9,0.45,-1.05,-1.05,-0.65,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.0999999999999998,-0.0999999999999998,-1.1,-2.1 ]"
179147 ,  3.15 , "[ 0,0,0.75,-0.75,1.1,0,-0.5,-0.5,0.5,0.5,0,-0.75,-1.5,1.65,0,0.5,0.25,-0.65,2,1.55,0.25,0.5,-0.75,0.5,-1.5 ]" , "[ 0,3,6,9,0,1 ]" , "[ 0,1.1,-0.75,6.05,-0.25,-1.5 ]" , "[ 0,1.1,0.35,6.4,6.15,4.65 ]"
196038 ,  8.1 , "[ 0,-0.15,0,0.35,0,0,0,0,0.25,-0.95,0.25,0,0.75,1.35,1,0.5,0,1,2.15,0.8,1.3,0,-0.5 ]" , "[ 1,1,0,0,3,4,0,6 ]" , "[ -0.15,0.35,0,0,-0.7,3.1,0.5,4.75 ]" , "[ -0.15,0.2,0.2,0.2,-0.5,2.6,3.1,7.85 ]"
217605 ,  26.05 , "[ 0,0.25,0.25,0,-0.5,0.75,-0.25,1,-0.25,1,-0.15,0,1.7,0,0.75,0.5,0.75,1.55,-0.35,0.05,1,0.25,0.5,-0.65,1.05,0,1,1.2,2.55,2.35,1.1,0.25,0.5,-0.15,0.25,3.75,-0.25,0,0.25,0.75,0,0.75,0.15,0.75,1.75,-0.25,0,0.4,0,0,-0.75,0,0.6,-1.5,0,1.25,0.25,0,-0.1,0 ]" , "[ 2,2,0,0,0,3,5,0,4,0,13,1,3,1,0,1,2,2,2 ]" , "[ 0.5,0.25,0.75,0.75,0.75,1.55,3.2,1.05,1.15,1,12.55,0.75,2.25,0.4,0,-0.75,-0.9,1.5,-0.1 ]" , "[ 0.5,0.75,1.5,2.25,3,4.55,7.75,8.8,9.95,10.95,23.5,24.25,26.5,26.9,26.9,26.15,25.25,26.75,26.65 ]"
218081 ,  10.25 , "[ 0,1,1,0.1,0,0.1,0,0.25,0,1.8,0.8,1.5,0.75,0.35,0.5,0,1.6,0.5 ]" , "[ 0,0,3,1,5,0,2 ]" , "[ 1,2,0.2,0.25,5.2,0.5,2.1 ]" , "[ 1,3,3.2,3.45,8.65,9.15,11.25 ]"
218510 ,  15.75 , "[ 0,0,1.75,0.5,1.1,0,1.25,3.2,0.75,1.3,0,1.3,2.85,0.25,0,0.5,1 ]" , "[ 0,15 ]" , "[ 0,15.75 ]" , "[ 0,15.75 ]"
223782 ,  3.55 , "[ 0,0,0,-0.75,0.25,0.15,0,0,0.5,0.75,-0.25,0.8,-0.5,0.15,0,0.25,0,0.6,0.25,1.35 ]" , "[ 1,3,7,1,3 ]" , "[ 0,-0.35,1.45,0.25,2.2 ]" , "[ 0,-0.35,1.1,1.35,3.55 ]"
223929 ,  17.1 , "[ 0,0,0,0,0,0.6,-0.25,0.4,0.6,0,0.25,0,0,0,0,0,1.75,0.95,0.6,0.6,0,0,0.85,0,0,0.15,0.85,0.25,0,1.1,0.9,1.3,0.65,0.5,1.6,0,0,0,0,-0.25,1.65,0.4,0.25,0,0.1,0.8,0.85,0.5,0.15,-1,-1,1 ]" , "[ 0,0,0,0,6,1,0,0,4,0,6,6,0,0,0,0,10,0,0 ]" , "[ 0,0,0,0,1.6,0,0,0,3.9,0,2.1,6.05,0,0,0,-0.25,3.7,0,1 ]" , "[ 0,0,0,0,1.6,1.6,1.6,1.6,5.5,5.5,7.6,13.65,13.65,13.65,13.65,13.4,17.1,17.1,18.1 ]"
236803 ,  16 , "[ 0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.6,0,0,1.55,0,0,1.1,0,-0.7,0,0.75,-0.25,1.7,0.8,0.35,-0.6,1.6,1.25,0,1,-0.1,1.85,0.5,2.25,-1.75,1.3 ]" , "[ 0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,9,2,7 ]" , "[ 0,0,0,0,0,0,0,0,0,0,0,3.4,0,1.55,0,3.75,2.85,5.05 ]" , "[ 0,0,0,0,0,0,0,0,0,0,0,3.4,3.4,4.95,4.95,8.7,11.55,16.6 ]"
240181 ,  22.75 , "[ 0,0,0,-0.25,3.3,0,1,0,0,-1.05,1.75,1.3,0.8,0,0.75,1.7,0.25,-2.4,0,0.5,-0.4,1.1,0,2.7,0.85,0.05,0.6,0.8,-1.15,0.75,1.6,0.25,0.35,0.85,0.5,2.25,1.55,0.6,0.75,1.1 ]" , "[ 0,0,4,4,27 ]" , "[ 0,0,4.05,2,15.9 ]" , "[ 0,0,4.05,6.05,21.95 ]"
246128 ,  26.9 , "[ 0,1.5,3.2,1.85,1.5,1.35,0,0.55,1.8,-1.25,1.45,-1.1,-0.5,0.9,0.9,0.75,1,0.75,1.3,0.25,0.6,-1.4,1,2.5,0,-1,1.35,1.2,1.1,0.75,0.75,1.85,-0.6,-0.25,0,0.5,1,1.35 ]" , "[ 14,0,0,3,0,1,8,0,3 ]" , "[ 12.15,1.75,1.75,2.15,-0.4,2.5,5.4,-0.25,2.85 ]" , "[ 12.15,13.9,15.65,17.8,17.4,19.9,25.3,25.05,27.9 ]"
249126 ,  17.75 , "[ 0,0,0,0,-0.25,1.4,0.25,0.5,-0.5,0.5,-0.6,0.8,-0.25,0,0,-0.4,-0.5,0,-0.5,0.5,0.4,0,0,0,1.1,0.25,1,0,-0.25,0.4,0.25,0,1,0,0,0.35,0,0,-0.6,0,1,0.9,0.5,0,0,1,0,1,-1,0,-0.45,0.25,1.3,0.25,1,-0.25,1,1.3,1.3,0,0.25,0.8,0,0,-0.75,-0.25,0.5,0,0.6,0.6,0.95,1.1 ]" , "[ 0,0,0,7,0,0,0,0,3,0,0,0,0,1,0,0,3,0,6,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,4,1,0,0,0 ]" , "[ 0,0,0,1.3,0.55,-0.25,0,-0.4,-1,0.9,0.4,0,0,1.1,1.25,1,0.4,1,-0.25,1,1.9,0.5,1,1,1,0,-1,-0.2,1.55,1.25,0.75,0.75,2.3,2.6,1.3,1.05,-0.5,0.6,1.55,2.05,1.1 ]" , "[ 0,0,0,1.3,1.85,1.6,1.6,1.2,0.2,1.1,1.5,1.5,1.5,2.6,3.85,4.85,5.25,6.25,6,7,8.9,9.4,10.4,11.4,12.4,12.4,11.4,11.2,12.75,14,14.75,15.5,17.8,20.4,21.7,22.75,22.25,22.85,24.4,26.45,27.55 ]"
250400 ,  5.25 , "[ 0,1,0.55,0,0.6,0,0,0.25,0,0.25,1.05,-1.15,0.45,1.1,-0.1,0.75,0.25,0.25,0,0,0 ]" , "[ 2,2,11,2 ]" , "[ 1.55,0.6,3.1,0 ]" , "[ 1.55,2.15,5.25,5.25 ]"
264037 ,  5.5 , "[ 0,0,0,1.6,0.5,0.5,-0.25,0,-0.75,0.5,-0.5,0,0,0,0,0,0,0.25,0.35,0.6,1.9,0,0.25,0,0,0,0,0,0,0,0,-0.25,0.8,0,0 ]" , "[ 0,0,2,0,11,8,5,1 ]" , "[ 0,0,2.1,0.25,-0.5,2.75,0.55,0 ]" , "[ 0,0,2.1,2.35,1.85,4.6,5.15,5.15 ]"
266162 ,  5.55 , "[ 0,0,0.75,1,1.35,-0.75,1.05,0.75,0,-1,0.95,0,0,0,0,0.8,0,-0.25,-1.25,1.1,0.6,0.45 ]" , "[ 0,5,0,2,0,0,2,0,4 ]" , "[ 0,3.4,0.75,-0.05,0,0,0.8,-0.25,0.9 ]" , "[ 0,3.4,4.15,4.1,4.1,4.1,4.9,4.65,5.55 ]"
271874 ,  2.9 , "[ 0,0.65,0.4,0,2.77555756156289e-17,0,1,0,0,1.75,-0.5,-0.9,-0.6,-1.65,1,0.1,0.25,0,1.4,-1.25,1,0.25 ]" , "[ 2,1,0,0,2,2,5,0,1 ]" , "[ 1.05,2.77555756156289e-17,1,1,1.75,-1.5,2.75,-0.25,0.25 ]" , "[ 1.05,1.05,2.05,3.05,4.8,3.3,6.05,5.8,6.05 ]"
287944 ,  9 , "[ 0,0.35,1.9,0.6,-0.5,2.4,0.35,-0.5,-2.35,0.35,1,0,1.05,-1.2,0.5,2.95,0.8,0.55,0,-0.25,1,0 ]" , "[ 2,5,0,7,0,0,0,0 ]" , "[ 2.25,-0.6,1.35,4.65,-0.25,0.75,1,0 ]" , "[ 2.25,1.65,3,7.65,7.4,8.15,9.15,9.15 ]"
295229 ,  -5.95 , "[ 0,0,-1.4,-2.05,0.5,-3,1.5,0.3,0.8,-0.25,0,-0.85,0,-1.5 ]" , "[ 9,3 ]" , "[ -3.6,-2.35 ]" , "[ -3.6,-5.95 ]"
